PELÍCULA;Nombre Actor Protagonista;Género actor protagonista;Nombre Actor Secundario;Género actor secundario
¿Quien tiene la culpa?;Jorge Alís;M;Teresa Hales;F

La Mutante;Constanza Tejo;F;Soledad Roa;F

Patio de Chacales;Néstor Cantillana;M;Blanca Lewin;F

¿Cuándo te vas?;Alvaro Rudolphy;M;Francisca Imboden;F

Desconectados 2: Reconectados;Javiera Contador;F;Jorge Zabaleta;M

La llama interior;Constanza Quinteros;F;Valeria Araneda;F

Me rompiste el corazón: el amor de Roberto Parra y la Negra Ester;Daniel Muñoz;M;Carmen Gloria Bresky;F

La ola;Daniela López;F;Avril Aurora;F

La misteriosa mirada del flamenco;Tamara Cortés;F;Matías Catalán;M

Cuerpo celeste;Helen Mrugalski;F;Daniela Ramírez;F

SOLO;José Quezada;M;Dolores Reina;F

Oro Amargo;Katalina Sánchez;F;Francisco Melo;M

Denominación de origen;Luisa Marabolí;F;Exequías Inostroza;M

Quizás es cierto lo que dicen de nosotras;Aline Kuppenheim;F;Camila Milenka;F

Bremen;Cristobal Briceño;M;Martin del real;M

Los colonos;Camilo Arancibia;M;Mark Stanley;M

Sayen: La ruta seca;Rallén Montenegro;F;Enrique Arce;M

El Conde;Jaime Vadell;M;Gloria Münchmeyer;F

Brujería;Valentina Veliz;F;Daniel Antivilo;M

Sayen: cazadora;Rallén Montenegro;F;Enrique Arce;M

Papá al rescate;Benjamin Vicuña;M;Jorge Zabaleta;M

Ardiente paciencia;Roberto Parada;M;Oscar Castro;M

Un like de navidad;Sara Bazueta;F;Ignacia Anotnia;F

El castigo;Néstor Cantillan;M;Antonia Zegers;F

Mensajes privados;Antonia Zegers;F;Nicolás Poblete;M

Blanquita;Laura López;F;Alejandro Goic;M

La Verónica;Marianna Di Girolamo;F;Patricia Rivadeneira;F

La mirada incendiada;Juan Carlos Maldonado;M;Catalina Saavedra;F

Piola;Max Salagado;M;René Mioranda;

Matar a Pinochet;Mario Horton;M;Daniela Ramírez;F

Tengo miedo torero;Alfredo Castro;M;Leonardo Ortizgris;M

Nadie sabe que estoy aquí;Jorge García;M;Lukas Vergara;M

Mujeres arriba;Loretto Bernal;F;Natalia Valdebenito;F

Pacto de fuga;Benjamín Vicuña;M;Roberto Farías;M

Cosas de hombres;Marcial Tagle;M;Boris Quercia;M

Perro Bomba;Steveens Benjamin;M;Alfredo Castro;M

Ema;Mariana Di Girolamo;F;Gael García;M

Algunas bestias;Paulina García;F;Alfredo Castro;M

Araña;Mercedes Morán;F;María Valberde;F

Hecho bolsa;Felipe Izquierdo;M;Bélgica Castro;F

Ella es Cristina;Marian Derderían;F;Paloma Salas;F

Mi amigo Alexis;Iván Alvarez;M;Alexis Sánchez;M

No quiero ser tu hermano;Nicolás Poblete;M;Dayana Amigo;F

Cola de mono;Cristóbal Rodríguez-Costabal;M;Sanatiago Rodríguez;M

El despertar de Camila;Francisca Walker;F;Koke Santa Ana;M

La salamandra;Cristián Caravajal;M;Tamara Acosta;F

No estoy loca;Paz Bascuñán;F;Marcial Tagle;M

La isla de los pingüinos;Lucas Espinoza;M;Rallén Montenegro;F

…Y de pronto el amanecer;Julián Jung;M;Angel Toledo;M

Los perros;Antonia Zegers;F;Alfredo Castro;M

Un día cualquiera;María Gracia Omegna;F;Néstor Cantillana;M

Reinos;Diego Boggioni;M;Daniela Castillo;

Princesita;Natalia Acevedo;F;María Gracia Omegna;F

La memoria de mi padre;Tomás Vidiella;M;Jaime McManus;M

Johnny 100 pesos, capítulo dos;Armando Araiza;M;Luciana Echeverría;F

Cabros de mierda;Daniel Contesse;M;Natalia Aragonese;F

Érase una vez, muy lejos de Liverpool;Daniel álvarez;M;Nelson Muñoz;M

La mentirita blanca;Rodrigo Salinas;M;Catalina Saavedra;F

Niñas araña;Michelle Mella;F;Javiera Orellan;F

Se busca novio…para mi mujer;Javiera Contador;F;Fernando Larraín;M

Aquí no ha pasado nada;Agustín Siulva;M;Alejandro Goic;M

Mala junta;Andrew Bargstewd;M;Francisco Pérez Bannen;M

El Cristo ciego;Michael Silva;M;Bastian Inostroza;M

Rara;Julia Lübnbert;F;Mariana Loyola;F

Poesía sin fin;Adan Jodorowsky;M;Pamela Flores;F

