Película ;Año;Duración ;Dirección;Guion;Casa productora;País coproducción;Lugar de estreno;País de estreno
¿Quien tiene la culpa?;2025;103;"Ivan Oyarzun  
Jorge Alis";"Iván Oyarzún
Jorge Alis
Malú Urriola";QL Producciones;Chile;Estreno en salas;Chile
Patio de Chacales;2025;108;Diego figueroa;Diego Figueroa;Infractor Films;Chile;Tallinn Black Nights Film Festival;Estonia
¿Cuándo te vas?;2025;82;Boris Quercia ;"
Aníbal Herrera
Boris Quercia";"AtacamaFilms
Poston Works";Chile;Estreno en salas;Chile
Desconectados 2: Reconectados ;2025;103;Diego Rougier;"
Carla Stagno
Diego Ayala
Diego Rougier
Rodrigo Vergara Tampe";Picardia Films;Chile, Estados Unidos;Estreno en streaming;No aplica
La llama interior ;2025;73;Cristián Sánchez G.;Cristián Sánchez G.;Nómada Producciones;Chile;Festival de Cine de Buenos Aires;Argentina
Me rompiste el corazón: el amor de Roberto Parra y la Negra Ester;2025;90;Boris Quercia ;Boris Quercia;"Chilechitá
Gesswein Producciones";Chile;Festival de Cine de Lebu;Chile
La ola;2025;129;Sebastián Lelio;"Josefina Fernández
Manuela Infante
Paloma Salas
Sebastián Lelio";Fábula;;Festival de Cine de Cannes;Francia
La misteriosa mirada del flamenco;2025;104;Diego Céspedes;Diego Céspedes;Quijote Films;Chile;Festival de Cine de Cannes;Francia
Cuerpo celeste;2025;97;Narra Ilic;Nayra Illic;Oro Films y Dispàrte ;Chile, Italia;Festival de Cine de Tribeca;Estados Unidos
Oro amargo;2024;83;Juan Francisco Olea;"
Agustín Toscano
Francisco Hervé
Malu Furche
Moisés Sepúlveda
Nicolás Wellmann";Juntos Films;Chile;Festival de Cine de Warsaw;Polonia
Denominación de origen;2024;86;Tomás Alzamora;"
Javier Salinas
Tomás Alzamora Muñoz";Equeco;Chile;FICValdivia ;Chile
