Película ,Lugar de estreno,País de estreno,lat,lon
¿Quien tiene la culpa?,Estreno en salas,Chile,-31.7613365,-71.3187697
Patio de Chacales,Tallinn Black Nights Film Festival,Estonia,58.7523778,25.3319078
¿Cuándo te vas?,Estreno en salas,Chile,-31.7613365,-71.3187697
Desconectados 2: Reconectados ,Estreno en streaming,No aplica,19.2514843,-100.0167741
La llama interior ,Festival de Cine de Buenos Aires,Argentina,-34.9964963,-64.9672817
Me rompiste el corazón: el amor de Roberto Parra y la Negra Ester,Festival de Cine de Lebu,Chile,-31.7613365,-71.3187697
La ola,Festival de Cine de Cannes,Francia,46.603354,1.8883335
La misteriosa mirada del flamenco,Festival de Cine de Cannes,Francia,46.603354,1.8883335
Cuerpo celeste,Festival de Cine de Tribeca,Estados Unidos,39.7837304,-100.445882
Oro amargo,Festival de Cine de Warsaw,Polonia,52.215933,19.134422
Denominación de origen,FICValdivia ,Chile,-31.7613365,-71.3187697
Quizás es cierto lo que dicen de nosotras,Estreno en salas,Chile,-31.7613365,-71.3187697
Bremen,Festival de Cine de Ñuble,Chile,-31.7613365,-71.3187697
El lugar de la otra,Festival de San Sebastián ,España,39.3260685,-4.8379791
Los colonos,Festival de Cine de Cannes,Francia,46.603354,1.8883335
Sayen: La ruta seca,Estreno en streaming,No aplica,19.2514843,-100.0167741
El Conde,Festival de Cine de Venecia,Italia,42.6384261,12.674297
Brujería,Festival de Cine de Sundance,Estados Unidos,39.7837304,-100.445882
Sayen: La cazadora,Estreno en streaming,No aplica,19.2514843,-100.0167741
Papá al rescate,Estreno en salas,Chile,-31.7613365,-71.3187697
Ardiente paciencia ,Festival de Cine de Mar del Plata,Argentina,-34.9964963,-64.9672817
Un like de navidad,Estreno en salas,Chile,-31.7613365,-71.3187697
El castigo,Estreno en salas,Chile,-31.7613365,-71.3187697
Mensajes privados,Festival de Cine de Málaga,España,39.3260685,-4.8379791
Blanquita,Festival de Cine de Venecia,Italia,42.6384261,12.674297
La Verónica,Festival de San Sebastián,España,39.3260685,-4.8379791
La mirada incendiada ,Estreno en streaming,Chile,-31.7613365,-71.3187697
Piola,Festival de Cine de Guadalajara,México,23.6585116,-102.0077097
Matar a Pinochet,Estreno en streaming,No aplica,19.2514843,-100.0167741
Tengo miedo torero,Estreno en streaming,No aplica,19.2514843,-100.0167741
Nadie sabe que estoy aquí,Festival de Cine de Tribeca,Estados Unidos,39.7837304,-100.445882
Mujeres arriba,Estreno en salas,Chile,-31.7613365,-71.3187697
Pacto de fuga,Estreno en salas,Chile,-31.7613365,-71.3187697
Cosas de hombres ,Estreno en salas,Chile,-31.7613365,-71.3187697
Perro Bomba,Festival BioBioCine,Chile,-31.7613365,-71.3187697
Ema,Festival de Cine de Venecia,Italia,42.6384261,12.674297
Algunas bestias ,Festival de San Sebastián,España,39.3260685,-4.8379791
Araña,Estreno en salas,Chile,-31.7613365,-71.3187697
Hecho bolsa,Estreno en salas,Chile,-31.7613365,-71.3187697
Ella es Cristina,Estreno en salas,Chile,-31.7613365,-71.3187697
Mi amigo Alexis,Estreno en salas,Chile,-31.7613365,-71.3187697
No quiero ser tu hermano ,Estreno en salas,Chile,-31.7613365,-71.3187697
Cola de mono,Estreno en salas,Chile,-31.7613365,-71.3187697
El despertar de Camila,Estreno en salas,Chile,-31.7613365,-71.3187697
La salamandra,Estreno en salas,Chile,-31.7613365,-71.3187697
No estoy loca,Estreno en salas,Chile,-31.7613365,-71.3187697
La isla de los pingüinos ,FICValdivia,Chile,-31.7613365,-71.3187697
…Y de pronto el amanecer,Festival de Cine del Mundo de Montreal,Canadá,61.0666922,-107.991707
Los perros,Festival de Cine de Cannes,Francia,46.603354,1.8883335
Un día cualquiera,Estreno en salas,Chile,-31.7613365,-71.3187697
Reinos,Festival de Cine de Buenos Aires,Argentina,-34.9964963,-64.9672817
Princesita ,Festival de Cine de Toronto,Canadá,61.0666922,-107.991707
La memoria de mi padre,Festival de Cine de Málaga,España,39.3260685,-4.8379791
"Johnny 100 pesos, capítulo dos",Estreno en salas,Chile,-31.7613365,-71.3187697
Cabros de mierda ,Estreno en salas,Chile,-31.7613365,-71.3187697
