Género;Calificación IMDB
Comedia;5,4
Drama, terror;7,2
Comedia;6,7
Comedia, familia;5,0
Fantasía, misterio;Sin calificación 
Drama, comedia;7,6
Drama, musical;5,8
Drama;6,9
Drama;7,0
Drama, thriller ;7,2
Comedia;8,1
Drama, crimen, historia;6,3
Acción ;4,4
Drama, thriller;6,3
Comedia, drama, música;Sin calificación 
Tragedia, drama, crimen, historia;6,9
Acción;4,5
Comedia, sátira, historia, fantasía ;6,4
Acción, thriller;4,7
Fantasía;6,1
Comedia, drama;4,4
Drama, romance, historia;6,0
Comedia;5,3
Drama;6,8
Drama;5,7
Drama;6,2
Comedia, drama;6,0
Drama, dictadura;6,8
Drama;6,4
Drama, dictadura;5,8
Drama, historia, romance;7,0
Drama, música;6,5
Comedia;3,9
Drama, thriller;7,0
Comedia;3,4
Drama;6,6
Drama, música, romance;6,7
Drama, thriller;5,6
Drama,crimen, thriller;6,3
Comedia;5,3
Drama;6,0
Comedia, deporte, drama, familia;5,0
Comedia;3,2
Drama, thriller;5,8
Romance;5,0
Drama;6,4
Comedia, drama;5,7
Drama, historia ;6,2
Drama;7,0
Drama;6,3
Romance;5,5
Drama;4,8
Drama;6,1
Drama;7,0
Crimen, drama;5,5
Drama, historia, dictadura;6,7
Drama;Sin calificación 
Comedia;6,3
Crimen, drama;6,7
Comedia, drama, romance;5,4
Drama;6,5
Drama;7,4
Drama;5,8
Drama;6,6
Drama, fantasía, biografía ;7,5
Comedia;3,3
Crimen, historia, drama, biografía ;6,8
Biografía, familia, fantasía ;5,6
Drama;8,2
Drama, historia;Sin calificación 
Acción, drama;6,1
Drama;Sin calificación 
Comedia;5,6
Drama, dictadura;4,6
Crimen, thriller;5,9
Drama, acción, thriller, terror;3,6
Comedia, drama, romance;7,0
Drama;5,5
Drama;Sin calificación 
Fantasía;Sin calificación 
Drama;Sin calificación 
Drama;5,8
Drama, thriller;6,6
Drama;6,6
Drama, thriller;6,4
Drama;7,6
Drama;Sin calificación 
Drama;Sin calificación 
Drama, thriller, ciencia ficción ;3,6
Drama;7,0
Drama, romance;5,5
Drama, thriller;7,7
Drama;6,6
Comedia;3,2
Acción, comedia, romance;4,9
Comedia, drama, familia, romance;4,7
Drama, romance;6,1
Drama;6,6
Comedia, drama, misterio, thriller;7,2
Comedia, drama, fantasía, misterio, familia ;6,0
Romance;Sin calificación 
Drama, historia ;6,9
Drama;6,1
Drama;7,9
Romance, fantasía, terror;7,1
Acción, historia, drama, dictadura, biografía;6,1
Comedia;3,3
Crimen, drama, thriller;6,3
Comedia;3,3
Crimen, drama, thriller, misterio;5,1
Comedia, drama;6,4
Comedia, drama, romance;5,9
Comedia, drama;6,3
Historia, romance;5,1
Terror, thriller;4,3
Comedia;4,5
Comedia, romance;2,0
Acción, romance, terror;4,4
Drama;6,8
Biografía, drama, thriller, dictadura ;6,0
Comedia;3,5
Drama, terror, thriller;2,0
Drama;6,7
Comedia;4,8
Drama;6,1
Comedia, romance;3,6
Comedia, drama;6,1
Drama, comedia, romance;6,9
Drama;6,5
Drama, historia;5,5
Acción, familia, comedia;4,6
Drama, historia, dictadura;7,4
Deporte, drama, romance;6,6
Acción, drama, terror, aventuras, thriller ;4,8
Acción, comedia, romance, crimen;5,4
Comedia;5,6
Drama, romance;5,6
Biografía, música;6,5
Comedia, drama, fantasía ;6,1
Comedia, drama;6,0
Aventuras, comedia, drama;6,9
Drama;6,4
Drama, fantasía, terror;4,8
Drama, biografía, música;7,1
Comedia, romance;5,4
Comedia, drama, música;6,5
Comedia, romance;3,7
Drama, ciencia ficción;6,0
Drama;5,7
Drama;6,2
Drama;5,4
Drama, terror;4,3
Suspenso, catástrofe;4,9
Drama;6,9
Comedia;6,4
Drama;Sin calificación 
Comedia romántica, acción, drama, familia, musical;5,6
Drama;6,5
Drama;5,9
Drama;6,7
Cine histórico;6,1
Drama;6,8
