nombre-pelicula;año;tipo-largometraje;duracion-min;tipo-filme;color;director-01;idioma;consol-idioma;lugar-prod;consol-lugar-prod;pais-rodaje;consol-pais-rodaje;lugar-estreno;pais-estreno;sinopsis;Columna1;Columna2;Columna3;Columna4;Columna5;Columna6;Columna7;Columna8;Columna9;Columna10;Columna11;Columna12;Columna13;Columna14;Columna15;Columna16;Columna17;Columna18;Columna19;Columna20;Columna21;Columna22;Columna23;Columna24;Columna25;Columna26;Columna27;Columna28;Columna29;Columna30;Columna31;Columna32;Columna33;Columna34;Columna35;Columna36;Columna37;Columna38;Columna39;Columna40;Columna41;Columna42;Columna43;Columna44;Columna45;Columna46;Columna47;Columna48;Columna49;Columna50;Columna51;Columna52;Columna53;Columna54;Columna55;Columna56;Columna57;Columna58;Columna59;Columna60;Columna61;Columna62;Columna63;Columna64;Columna65;Columna66;Columna67;Columna68;Columna69;Columna70;Columna71;Columna72;Columna73;Columna74;Columna75;Columna76;Columna77;Columna78;Columna79;Columna80;Columna81;Columna82;Columna83;Columna84;Columna85;Columna86;Columna87;Columna88;Columna89;Columna90;Columna91;Columna92;Columna93;Columna94;Columna95;Columna96;Columna97;Columna98;Columna99;Columna100;Columna101;Columna102;Columna103;Columna104;Columna105;Columna106;Columna107;Columna108;Columna109;Columna110;Columna111;Columna112;Columna113;Columna114;Columna115;Columna116;Columna117;Columna118;Columna119;Columna120;Columna121;Columna122;Columna123;Columna124;Columna125;Columna126;Columna127;Columna128;Columna129;Columna130;Columna131;Columna132;Columna133;Columna134;Columna135;Columna136;Columna137;Columna138;Columna139;Columna140;Columna141;Columna142;Columna143;Columna144;Columna145;Columna146;Columna147;Columna148;Columna149;Columna150;Columna151;Columna152;Columna153;Columna154;Columna155;Columna156;Columna157;Columna158;Columna159;Columna160;Columna161;Columna162;Columna163;Columna164;Columna165;Columna166;Columna167;Columna168;Columna169;Columna170;Columna171;Columna172;Columna173;Columna174;Columna175;Columna176;Columna177;Columna178;Columna179;Columna180;Columna181;Columna182;Columna183;Columna184;Columna185;Columna186;Columna187;Columna188;Columna189;Columna190;Columna191;Columna192;Columna193;Columna194;Columna195;Columna196;Columna197;Columna198;Columna199;Columna200;Columna201;Columna202;Columna203;Columna204;Columna205;Columna206;Columna207;Columna208;Columna209;Columna210;Columna211;Columna212;Columna213;Columna214;Columna215;Columna216;Columna217;Columna218;Columna219;Columna220;Columna221;Columna222;Columna223;Columna224;Columna225;Columna226;Columna227;Columna228;Columna229;Columna230;Columna231;Columna232;Columna233;Columna234;Columna235;Columna236;Columna237;Columna238;Columna239;Columna240
La industria del salitre ;1915;Largometraje documental ;NI; 35 mm ; Blanco & negro, Muda;Francisco Caamaño;Español;Español;Chile;Chile;Chile;Chile;Teatros Setiembre y Politeama;Chile;"Largometraje sobre el proceso de extracción y comercialización del salitre, que mostraba también el puerto deChile y los pormenores de las labores en las salitreras. De carácter industrial y educativo, ilustraba el proceso de extracción y refinamiento del salitre, con descripciones del proceso a través de intertítulos reproducidos en la prensa. Fue enviada a la Exposición Universal de San Francisco (Estados Unidos) en representación deChile (Del libro ""Sucesos recobrados. Filmografía del documental chileno (1897-1932)"", X. Vergara, A. Krebs, M. Morales, 2021).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La industria del salitre ;1915;Largometraje documental ;NI; 35 mm ; Blanco & negro, Muda;Francisco Caamaño;Español;Español;Chile;Chile;Chile;Chile;Teatros Setiembre y Politeama;Chile;"Largometraje sobre el proceso de extracción y comercialización del salitre, que mostraba también el puerto deChile y los pormenores de las labores en las salitreras. De carácter industrial y educativo, ilustraba el proceso de extracción y refinamiento del salitre, con descripciones del proceso a través de intertítulos reproducidos en la prensa. Fue enviada a la Exposición Universal de San Francisco (Estados Unidos) en representación deChile (Del libro ""Sucesos recobrados. Filmografía del documental chileno (1897-1932)"", X. Vergara, A. Krebs, M. Morales, 2021).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La baraja de la muerte (o El enigma de la calle del Lord) ;1916;Largometraje de ficción ;100; 35 mm ; Blanco & negro, Muda;Salvador Giambastiani;Español;Español;Chile;Chile;Chile;Chile;Teatros Colón y Novedades;Chile;Basa su acción en un crimen cometido por Corina Rojas y acaecido en la calle Lord Cochrane. Este hecho policial causó revuelo en la épica y aún no se dictaba sentencia cuando se anuncia el estreno de la película. Se considera el primer largometraje argumental realizado enChile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El hombre de acero ;1917;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Jorge Délano «Coke»;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Creación Colectiva bajo la dirección de Pedro Sienna. Relata la historia de un joven de buena familia que aprende mecánica en la Escuela de Artes y Oficios, más por afición que por necesidad. Inesperadamente sobreviene la ruina y el muchacho debe hacerse cargo de su familia. Aprovechando sus conocimientos instala un garaje en un pueblo próximo aChile. La fortuna le sonríe y al poco tiempo contrae matrimonio con la hija de un poderoso industrial, vuelve aChile, recupera sus antiguas relaciones y por último obtiene un cargo de ejecutivo en los Ferrocarriles del Estado. (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La agonía de Arauco (o El olvido de los muertos) ;1917;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Gabriela Bussenius;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Es una aventura sentimental, donde el paisaje y el pueblo mapuche sirven de pretexto para justificar una metáfora sobre la extensión de la raza araucana. La pérdida del hijo y marido de la protagonista constituyen el nudo argumental del filme (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alma chilena ;1917;Largometraje de ficción ;60; 35 mm ; Blanco & negro, Muda;Arturo Mario;Español;Español;Chile;Chile;Chile;Chile;Teatros Victoria y Colón;Chile;"Versión nacional de la argentina Nobleza Gaucha, Alma Chilena desarrolla un contrapunto entre el campo y la ciudad. El filme argentino es de hondo contenido social y sus realizadores plantean una visión crítica y comprometida. Estos aspectos parecen estar ausenten en la cinta chilena; Arturo Mario sólo destaca lo anecdótico de un repertorio considerado típicamente chileno (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todo por la patria (o El girón de la bandera) ;1918;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Arturo Mario;Español;Español;Chile;Chile;Chile;Chile;Teatros Colón y Alhambra;Chile;"Basada en la novela ""El girón de la bandera"". El recuerdo de la Guerra del Pacífico está aún latente en el país y sirve de inspiración a esta película de corte melodramático. Un dueño de fundo, guiado por el amor a la patria, perdona a su primogénito por haberse enamorado de Rosa, hija de uno de sus inquilinos, al enterarse que Luis, el hermano de la muchacha, ha muerto durante la toma del Morro de Arica y accede entonces al matrimonio de los jóvenes. (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La avenida de las acacias ;1918;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Arturo Mario;Español;Español;Chile;Chile;Chile;Chile;Teatros Colón y Apolo;Chile;"Comedia de corte policial que narra las aventuras y peripecias de una joven raptada por una banda de delincuentes. Luego de múltiples intrigas, protagonizadas en su mayor parte en una vieja barcaza abandonada, un apuesto galán rescata a la muchacha. (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Una víctima ;1919;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Andrés Bartolotti;Español;Español;Chile;Chile;Chile;Chile;Teatro Edén;Chile;NI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manuel Rodríguez ;1920;Largometraje de ficción ;103; 35 mm ; Blanco & negro, Muda;Arturo Mario;Español;Español;Chile;Chile;Chile;Chile;Teatro Alhambra;Chile;"Basada en la novela de Alberto Blest Gana, “Durante la reconquista”. La acción de Manuel Rodríguez descansa en las aventuras del guerrillero y en las luchas por la reconquista de la Independencia. (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994).

Contenía escenas viradas a color.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
